short_name,age,overall,value_eur,wage_eur,pace,shooting,passing,defending
L. Messi,35.0,91.0,54000000.0,195000.0,81.0,89.0,90.0,34.0
K. Benzema,34.0,91.0,64000000.0,450000.0,80.0,88.0,83.0,39.0
R. Lewandowski,33.0,91.0,84000000.0,420000.0,75.0,91.0,79.0,44.0
K. De Bruyne,31.0,91.0,107500000.0,350000.0,74.0,88.0,93.0,64.0
K. MbappÃ©,23.0,91.0,190500000.0,230000.0,97.0,89.0,80.0,36.0
Cristiano Ronaldo,37.0,90.0,41000000.0,220000.0,81.0,92.0,78.0,34.0
V. van Dijk,30.0,90.0,98000000.0,230000.0,81.0,60.0,71.0,91.0
M. Salah,30.0,90.0,115500000.0,270000.0,90.0,89.0,82.0,45.0
Neymar Jr,30.0,89.0,99500000.0,200000.0,87.0,83.0,85.0,37.0
H. Son,29.0,89.0,101000000.0,240000.0,88.0,89.0,82.0,42.0
Casemiro,30.0,89.0,86000000.0,240000.0,63.0,73.0,75.0,87.0
H. Kane,28.0,89.0,105500000.0,240000.0,68.0,91.0,83.0,47.0
S. ManÃ©,30.0,89.0,99500000.0,145000.0,90.0,83.0,80.0,44.0
J. Kimmich,27.0,89.0,105500000.0,130000.0,68.0,72.0,87.0,83.0
N. KantÃ©,31.0,89.0,72000000.0,220000.0,72.0,66.0,74.0,87.0
L. ModriÄ‡,36.0,88.0,29000000.0,230000.0,73.0,76.0,89.0,72.0
T. Kroos,32.0,88.0,72000000.0,310000.0,53.0,81.0,90.0,71.0
Marquinhos,28.0,88.0,92000000.0,170000.0,79.0,56.0,75.0,89.0
JoÃ£o Cancelo,28.0,88.0,82500000.0,250000.0,85.0,73.0,85.0,81.0
Bernardo Silva,27.0,88.0,97500000.0,260000.0,77.0,78.0,84.0,61.0
E. Haaland,21.0,88.0,148000000.0,220000.0,89.0,91.0,65.0,49.0
RÃºben Dias,25.0,88.0,107500000.0,230000.0,63.0,39.0,66.0,88.0
T. MÃ¼ller,32.0,87.0,63000000.0,115000.0,69.0,84.0,83.0,56.0
M. Verratti,29.0,87.0,77500000.0,155000.0,60.0,61.0,87.0,79.0
K. Koulibaly,31.0,87.0,54500000.0,175000.0,82.0,33.0,59.0,88.0
A. RÃ¼diger,29.0,87.0,73500000.0,250000.0,82.0,53.0,71.0,86.0
Fabinho,28.0,87.0,77000000.0,185000.0,66.0,69.0,78.0,86.0
L. Goretzka,27.0,87.0,91000000.0,115000.0,78.0,82.0,82.0,81.0
A. Robertson,28.0,87.0,72000000.0,185000.0,80.0,61.0,81.0,82.0
F. de Jong,25.0,87.0,116500000.0,230000.0,82.0,69.0,86.0,77.0
T. Alexander-Arnold,23.0,87.0,100500000.0,150000.0,76.0,69.0,89.0,80.0
Rodri,26.0,87.0,88500000.0,200000.0,58.0,72.0,78.0,83.0
Thiago Silva,37.0,86.0,12000000.0,115000.0,49.0,54.0,73.0,87.0
Thiago,31.0,86.0,55500000.0,180000.0,61.0,72.0,87.0,72.0
Parejo,33.0,86.0,42000000.0,64000.0,50.0,83.0,90.0,71.0
C. Immobile,32.0,86.0,55000000.0,100000.0,85.0,87.0,68.0,39.0
R. Lukaku,29.0,86.0,68000000.0,200000.0,80.0,85.0,75.0,38.0
D. Alaba,30.0,86.0,55500000.0,220000.0,79.0,71.0,83.0,85.0
R. Sterling,27.0,86.0,72500000.0,195000.0,90.0,80.0,78.0,45.0
