short_name,player_positions,overall,potential,value_eur,wage_eur,nationality_name,preferred_foot,pace,shooting,passing,defending
L. Messi,RW,91,91,54000000,195000,Argentina,Left,81,89,90,34
K. Benzema,"CF, ST",91,91,64000000,450000,France,Right,80,88,83,39
R. Lewandowski,ST,91,91,84000000,420000,Poland,Right,75,91,79,44
K. De Bruyne,"CM, CAM",91,91,107500000,350000,Belgium,Right,74,88,93,64
K. MbappÃ©,"ST, LW",91,95,190500000,230000,France,Right,97,89,80,36
Cristiano Ronaldo,ST,90,90,41000000,220000,Portugal,Right,81,92,78,34
M. Neuer,GK,90,90,13500000,72000,Germany,Right,0,0,0,0
T. Courtois,GK,90,91,90000000,250000,Belgium,Left,0,0,0,0
V. van Dijk,CB,90,90,98000000,230000,Netherlands,Right,81,60,71,91
M. Salah,RW,90,90,115500000,270000,Egypt,Left,90,89,82,45
Neymar Jr,LW,89,89,99500000,200000,Brazil,Right,87,83,85,37
H. Son,"LW, LM",89,89,101000000,240000,Korea Republic,Right,88,89,82,42
Casemiro,CDM,89,89,86000000,240000,Brazil,Right,63,73,75,87
J. Oblak,GK,89,91,85500000,100000,Slovenia,Right,0,0,0,0
H. Kane,ST,89,89,105500000,240000,England,Right,68,91,83,47
S. ManÃ©,"LM, CF",89,89,99500000,145000,Senegal,Right,90,83,80,44
Ederson,GK,89,91,88000000,210000,Brazil,Left,0,0,0,0
J. Kimmich,"CDM, RB",89,90,105500000,130000,Germany,Right,68,72,87,83
Alisson,GK,89,90,79000000,190000,Brazil,Right,0,0,0,0
N. KantÃ©,"CDM, CM",89,89,72000000,220000,France,Right,72,66,74,87
L. ModriÄ‡,CM,88,88,29000000,230000,Croatia,Right,73,76,89,72
T. Kroos,CM,88,88,72000000,310000,Germany,Right,53,81,90,71
M. ter Stegen,GK,88,89,68500000,210000,Germany,Right,0,0,0,0
K. Navas,GK,88,88,10000000,85000,Costa Rica,Right,0,0,0,0
Marquinhos,CB,88,90,92000000,170000,Brazil,Right,79,56,75,89
JoÃ£o Cancelo,"LB, RB",88,88,82500000,250000,Portugal,Right,85,73,85,81
Bernardo Silva,"CAM, CM",88,88,97500000,260000,Portugal,Left,77,78,84,61
G. Donnarumma,GK,88,92,103500000,110000,Italy,Right,0,0,0,0
E. Haaland,ST,88,94,148000000,220000,Norway,Left,89,91,65,49
RÃºben Dias,CB,88,91,107500000,230000,Portugal,Right,63,39,66,88
H. Lloris,GK,87,87,9000000,80000,France,Left,0,0,0,0
T. MÃ¼ller,"CAM, CF",87,87,63000000,115000,Germany,Right,69,84,83,56
De Gea,GK,87,87,42000000,150000,Spain,Right,0,0,0,0
M. Verratti,"CM, CAM",87,87,77500000,155000,Italy,Right,60,61,87,79
K. Koulibaly,CB,87,87,54500000,175000,Senegal,Right,82,33,59,88
A. RÃ¼diger,CB,87,88,73500000,250000,Germany,Right,82,53,71,86
Fabinho,"CDM, CB",87,88,77000000,185000,Brazil,Right,66,69,78,86
L. Goretzka,"CM, CDM",87,88,91000000,115000,Germany,Right,78,82,82,81
M. Maignan,GK,87,90,80000000,90000,France,Right,0,0,0,0
A. Robertson,LB,87,87,72000000,185000,Scotland,Left,80,61,81,82
F. de Jong,CM,87,92,116500000,230000,Netherlands,Right,82,69,86,77
T. Alexander-Arnold,RB,87,90,100500000,150000,England,Right,76,69,89,80
Rodri,CDM,87,89,88500000,200000,Spain,Right,58,72,78,83
Thiago Silva,CB,86,86,12000000,115000,Brazil,Right,49,54,73,87
W. SzczÄ™sny,GK,86,86,33500000,125000,Poland,Right,0,0,0,0
K. Trapp,GK,86,86,36000000,43000,Germany,Right,0,0,0,0
Thiago,CM,86,86,55500000,180000,Spain,Right,61,72,87,72
Parejo,CM,86,86,42000000,64000,Spain,Right,50,83,90,71
C. Immobile,ST,86,86,55000000,100000,Italy,Right,85,87,68,39
R. Lukaku,ST,86,86,68000000,200000,Belgium,Left,80,85,75,38
D. Alaba,CB,86,86,55500000,220000,Austria,Left,79,71,83,85
R. Sterling,"LW, RW",86,86,72500000,195000,England,Right,90,80,78,45
R. Mahrez,"RW, RM",86,86,56500000,220000,Algeria,Left,80,83,81,38
P. Dybala,"CF, CAM",86,86,69500000,130000,Argentina,Left,80,85,85,40
Bruno Fernandes,"CAM, CM",86,86,72500000,190000,Portugal,Right,72,86,88,67
A. Laporte,CB,86,87,64500000,195000,Spain,Left,61,50,72,86
K. Coman,LM,86,87,80000000,105000,France,Right,92,77,79,30
M. BrozoviÄ‡,"CDM, CM",86,86,58000000,110000,Croatia,Right,69,74,81,81
S. MilinkoviÄ‡-SaviÄ‡,CM,86,87,77500000,90000,Serbia,Right,68,80,82,79
N. Barella,CM,86,89,89500000,110000,Italy,Right,79,76,83,77
L. MartÃ­nez,ST,86,90,98500000,110000,Argentina,Right,83,83,72,48
